500,2,45,0.010915162624661858
500,5,112,0.0046159182009131335
500,3,68,0.006718820168209945
500,4,90,0.005313818317255082
100,2,20,0.01601486591120676
100,3,30,0.011479945735281225
50,2,15,0.019331778904130417
50,3,22,0.012743894817789174
100,4,40,0.009035263451107113
50,4,29,0.011010865392386049
100,5,50,0.008263523537336547
50,5,36,0.010197458508241499
1000,3,95,0.005598265832332427
1000,2,64,0.008938586060168369
1000,4,127,0.00437272273329337
1000,5,159,0.0037029535667773826
250,2,32,0.013081874385092245
250,3,48,0.008335237248463294
250,4,64,0.006644858330797055
250,5,80,0.0057799642760022986
