320,FHMC,FALSE,42078.291000000005,180.24488800510628,2361.5267109068036
320,FHMC,TRUE,41686.804000000004,180.24488800510628,2361.5267109068036
160,FHMC,TRUE,10082.592,309.144400327603,2193.9228895191904
160,FHMC,FALSE,10191.431,309.144400327603,2193.9228895191904
80,FHMC,FALSE,2555.412,634.6723613652216,2365.4158972216583
80,FHMC,TRUE,2536.052,634.6723613652216,2365.4158972216583
40,FHMC,TRUE,747.671,646.1504304750487,2322.2645332801794
40,FHMC,FALSE,754.241,646.1504304750487,2322.2645332801794
20,FHMC,FALSE,329.838,2004.1926199801494,2454.9704176049277
20,FHMC,TRUE,329.23900000000003,2004.1926199801494,2454.9704176049277
20,SSHMC,TRUE,297.431,886.8133882229066,2463.2334673650303
20,SSHMC,FALSE,293.081,1699.9427538691978,2466.038606419206
40,SSHMC,FALSE,429.026,1810.2985459138451,2452.520535315963
40,SSHMC,TRUE,459.668,1007.9999192346937,2328.9635197717166
80,SSHMC,TRUE,790.8159999999999,746.3951450931327,2447.215910190679
80,SSHMC,FALSE,735.555,1591.2732029967083,2457.451027382946
160,SSHMC,FALSE,1414.491,1231.9135327150602,2476.427241133779
160,SSHMC,TRUE,1501.824,202.27720981277824,2243.5583241347285
320,SSHMC,TRUE,2922.788,690.7075182974207,2499.1657216027565
320,SSHMC,FALSE,2818.663,1281.2119796977934,2354.0006059499983
320,FMH,FALSE,5758.247,104.11704091508642,517.037495320214
320,FMH,TRUE,5720.564,104.11704091508642,517.037495320214
160,FMH,TRUE,1533.366,306.9042551643323,1012.677525895909
160,FMH,FALSE,1531.666,306.9042551643323,1012.677525895909
80,FMH,FALSE,540.539,614.3983273379313,1999.7289034200435
80,FMH,TRUE,534.0050000000001,614.3983273379313,1999.7289034200435
40,FMH,TRUE,294.548,1247.4907461809123,3633.421647641509
40,FMH,FALSE,299.012,1247.4907461809123,3633.421647641509
20,FMH,FALSE,230.78,3604.9757937211016,6449.353011370567
20,FMH,TRUE,230.28900000000002,3604.9757937211016,6449.353011370567
20,SMH,TRUE,460.009,2718.3546484328876,11503.516767148723
20,SMH,FALSE,460.884,4291.609351796177,11534.110879559974
40,SMH,FALSE,505.87,1011.0038848927161,4285.26669061254
40,SMH,TRUE,515.761,804.2062946053304,5252.2647541300985
80,SMH,FALSE,780.772,110.35836413978669,1616.6029731665647
80,SMH,TRUE,788.274,334.2346844466482,2664.429803093853
160,SMH,TRUE,22201.069,4215.8495150018125,19790.859845568168
160,SMH,FALSE,20864.177,187.02328320042764,5886.330250245212
320,SMH,FALSE,128318.491,109.83234155685535,7326.609305332755
320,SMH,TRUE,132984.338,7171.15517150206,43079.51293871183
