20,SSHMC,27.981,20000,102.6921049830562
40,SSHMC,46.760999999999996,22300,114.51017864694437
80,SSHMC,133.79500000000002,38900,100.62983922550607
160,SSHMC,212.706,35300,100.74765779902269
20,FHMC,32.845000000000006,22100,107.12385036175432
40,FHMC,122.823,35000,102.45045755993839
80,FHMC,606.328,44000,100.95110743649897
20,FMH,16.828,40200,115.139046026752
40,FMH,56.203,107100,100.13640369665805
20,SMH,19.826,50800,100.19940858364816
40,SMH,69.062,166600,100.26806187298135
160,FHMC,2433.674,55700,100.35304923781243
80,FMH,89.715,148600,103.37212520703319
160,FMH,562.4399999999999,346800,101.63949770277058
80,SMH,1313.917,3515000,100.29332951474441
20,FSHMC,49.714,36000,100.17079184317852
40,FSHMC,107.69,38100,101.74434556442569
80,FSHMC,368.646,43800,101.0117559069268
160,FSHMC,3158.715,96500,100.1174893220224
